Catalogue number,State,Country,county,latitude,longitude,Zones,Taxon
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9508,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9509,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9510,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9516,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9518,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9519,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9521,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9522,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9523,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9524,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9525,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9527,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9528,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9529,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9530,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9532,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9533,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9534,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9536,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9537,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9537,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9538,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9540,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9542,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9543,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9545,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9546,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9547,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9548,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9550,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9551,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9553,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9554,FL,USA,Union county,30.0745,-82.3452,Wet Plains,Odocoileus virginianus
UF 9555,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9555,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9555,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9555,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9555,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9555,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9555,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9555,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9557,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9559,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9561,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9562,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9563,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9563,FL,USA,Volusia county,29.0533409,-81.1310761,Wet Plains,Odocoileus virginianus
UF 9564,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9565,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9566,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9567,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9569,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9573,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9574,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9575,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9576,FL,USA,Broward county,26.1598074,-80.4623642,Wet Plains,Odocoileus virginianus
UF 9649,FL,USA,Collier county,26.087964,-81.3794941,Wet Plains,Odocoileus virginianus
UMMZ 40446,MI,USA,Dickinson county,45.9601,87.8616,Mixed Woodlands,Odocoileus virginianus
UMMZ 5240,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 57750,MI,USA,Crawford County,44.6524,-84.6897,Mixed Woodlands,Odocoileus virginianus
UMMZ 57751,MI,USA,LaPort county,41.7384,-86.8822,Closed Woodlands,Odocoileus virginianus
UMMZ 57868,MN,USA,Funkley,47.7835661,-94.431348,Wet Plains,Odocoileus virginianus
UMMZ 59029,MI,USA,Crawford County,44.6524,-84.6897,Mixed Woodlands,Odocoileus virginianus
UMMZ 60952,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 60962,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 60967,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 60980,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 60986,MI,USA,Houghton county,46.8591287,-88.7774734,Mixed Woodlands,Odocoileus virginianus
UMMZ 60997,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61004,MI,USA,Iron county,46.2758,-88.4903,Mixed Woodlands,Odocoileus virginianus
UMMZ 61010,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 61011,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61018,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus 
UMMZ 61023,MI,USA,Iosco county,44.3501989,-83.6582168,Mixed Woodlands,Odocoileus virginianus
UMMZ 61025,MI,USA,Houghton county,46.8591287,-88.7774734,Mixed Woodlands,Odocoileus virginianus
UMMZ 61028,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 61029,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 61030,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 61032,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61034,MI,USA,Alger county,47.16,-86.5088,Mixed Woodlands,Odocoileus virginianus
UMMZ 61040,MI,USA,Crawford County,44.6524,-84.6897,Mixed Woodlands,Odocoileus virginianus
UMMZ 61044,MI,USA,Dickinson county,45.9601,87.8616,Mixed Woodlands,Odocoileus virginianus
UMMZ 61045,MI,USA,Alpena county,45.0176181,-83.6670019,Mixed Woodlands,Odocoileus virginianus
UMMZ 61053,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61053,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61062,MI,USA,Alpena county,45.0176181,-83.6670019,Mixed Woodlands,Odocoileus virginianus
UMMZ 61073,MI,USA,Chippewa county,46.3117,-84.5932,Mixed Woodlands,Odocoileus virginianus
UMMZ 61083,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61093,MI,USA,Chippewa county,46.3117,-84.5932,Mixed Woodlands,Odocoileus virginianus
UMMZ 61097,MI,USA,Delta county,45.7124,-86.9844,Mixed Woodlands,Odocoileus virginianus
UMMZ 61114,MI,USA,Houghton county,46.8591287,-88.7774734,Mixed Woodlands,Odocoileus virginianus
UMMZ 61117,MI,USA,Chippewa county,46.3117,-84.5932,Mixed Woodlands,Odocoileus virginianus
UMMZ 61118,MI,USA,Chippewa county,46.3117,-84.5932,Mixed Woodlands,Odocoileus virginianus
UMMZ 61125,MI,USA,Alpena county,45.0176181,-83.6670019,Mixed Woodlands,Odocoileus virginianus
UMMZ 61129,MI,USA,Oscoda county,44.6789109,-84.1467693,Mixed Woodlands,Odocoileus virginianus
UMMZ 61143,MI,USA,Chippewa county,46.3117,-84.5932,Mixed Woodlands,Odocoileus virginianus
UMMZ 61144,MI,USA,Crawford county,44.6524,-84.6897,Mixed Woodlands,Odocoileus virginianus
UMMZ 61152,MI,USA,Alpena county,45.0176181,-83.6670019,Mixed Woodlands,Odocoileus virginianus
UMMZ 61167,MI,USA,Alpena county,45.0176181,-83.6670019,Mixed Woodlands,Odocoileus virginianus
UMMZ 61168,MI,USA,Keeweewaw,47.7516,-88.3249,Mixed Woodlands,Odocoileus virginianus
UMMZ 61172,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 61179,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 61184,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 61192,MI,USA,Houghton county,46.8591287,-88.7774734,Mixed Woodlands,Odocoileus virginianus
UMMZ 61194,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 61213,MI,USA,Calhoun county,42.2074,-85.0233,Closed Woodlands,Odocoileus virginianus
UMMZ 61221,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 65470,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 65471,MI,USA,Gogebic county,46.403433,-89.6626791,Mixed Woodlands,Odocoileus virginianus
UMMZ 65530,TX,USA,Blanco county,30.2419274,-98.4004594,Grassland,Odocoileus virginianus
UMMZ 76253,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 76264,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 76269,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 76271,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 79567,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 79568,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 79568,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 80206,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 80209,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 80212,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 80213,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81135,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81137,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81138,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81139,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81161,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81648,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81648,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 81720,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 91097,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 92273,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus
UMMZ 97528,FL,USA,Monroe county,25.2974,-81.0755,Wet Plains,Odocoileus virginianus
UMMZ 97529,FL,USA,Monroe county,25.2974,-81.0755,Wet Plains,Odocoileus virginianus
UMMZ81136,MI,USA,Livingston county,42.6208,-83.8473,Closed Woodlands,Odocoileus virginianus